Num_threads, sequence_length, time_after_state_init, full_run_time
1, 1000, 0.020169, 0.113654 
2, 1000, 0.024357, 0.048491 
4, 1000, 0.024393, 0.053746 
8, 1000, 0.042967, 0.080373 
16, 1000, 0.121375, 0.176518 
1, 2000, 0.090992, 0.183774 
2, 2000, 0.090131, 0.173498 
4, 2000, 0.077083, 0.172018 
8, 2000, 0.100706, 0.216154 
16, 2000, 0.264443, 0.408829 
1, 3000, 0.217271, 0.393560 
2, 3000, 0.200894, 0.375532 
4, 3000, 0.142170, 0.339119 
8, 3000, 0.180701, 0.407322 
16, 3000, 0.383600, 0.668460 
1, 4000, 0.467544, 0.754051 
2, 4000, 0.359907, 0.680636 
4, 4000, 0.336744, 0.686726 
8, 4000, 0.296526, 0.668232 
16, 4000, 0.681597, 1.236110 
1, 5000, 0.604649, 1.039787 
2, 5000, 0.544652, 1.004172 
4, 5000, 0.331858, 0.830740 
8, 5000, 0.414592, 0.976408 
16, 5000, 0.876925, 1.533252 
1, 6000, 0.920410, 1.550870 
2, 6000, 0.858860, 1.508273 
4, 6000, 0.720316, 1.434388 
8, 6000, 0.626580, 1.424228 
16, 6000, 1.126707, 2.093849 
1, 7000, 1.232991, 2.097497 
2, 7000, 1.267813, 2.149546 
4, 7000, 0.859987, 1.788885 
8, 7000, 0.798512, 1.826952 
16, 7000, 1.467599, 2.677558 
1, 8000, 1.693283, 2.810378 
2, 8000, 1.634019, 2.769076 
4, 8000, 0.833712, 2.017895 
8, 8000, 1.031583, 2.403139 
16, 8000, 1.837703, 3.308579 
1, 9000, 2.147472, 3.916843 
2, 9000, 2.079266, 3.494592 
4, 9000, 1.360746, 2.853958 
8, 9000, 1.354738, 3.014984 
16, 9000, 2.455102, 4.323978 
1, 10000, 2.542849, 4.235779 
2, 10000, 2.490110, 4.274989 
4, 10000, 1.963768, 3.845055 
8, 10000, 1.634110, 3.632077 
16, 10000, 3.098313, 5.301930 
1, 11000, 3.148963, 5.246131 
2, 11000, 2.974596, 5.128076 
4, 11000, 1.793630, 3.991304 
8, 11000, 1.915285, 4.355600 
16, 11000, 3.318922, 6.005849 
1, 12000, 3.673314, 6.118378 
2, 12000, 3.403336, 5.947561 
4, 12000, 2.976865, 6.146099 
8, 12000, 1.874236, 4.662767 
16, 12000, 4.082570, 7.237673 
1, 13000, 4.382566, 7.257191 
2, 13000, 4.506400, 7.394924 
4, 13000, 3.142868, 6.176219 
8, 13000, 2.646236, 5.862212 
16, 13000, 4.804682, 9.406683 
1, 14000, 5.180935, 8.603022 
2, 14000, 4.970196, 8.347775 
4, 14000, 4.083754, 7.972083 
8, 14000, 2.473330, 6.688914 
16, 14000, 5.490945, 9.589272 
1, 15000, 5.779503, 9.523823 
2, 15000, 5.245842, 9.189710 
4, 15000, 4.399164, 8.397309 
8, 15000, 3.366948, 7.705504 
16, 15000, 6.352509, 10.944134 
1, 20000, 10.941650, 17.827452 
2, 20000, 9.791646, 16.694687 
4, 20000, 8.093386, 15.132831 
8, 20000, 6.260252, 13.722769 
16, 20000, 10.720425, 18.626234 
1, 25000, 18.970026, 29.702147 
2, 25000, 15.519810, 26.210787 
4, 25000, 11.617175, 22.258999 
8, 25000, 9.085682, 20.341150 
16, 25000, 16.745237, 28.894920 
1, 30000, 28.293940, 43.658192 
2, 30000, 23.292166, 40.124859 
4, 30000, 18.356939, 33.692711 
8, 30000, 12.217634, 28.177197 
16, 30000, 23.622198, 40.514103 
1, 35000, 41.021530, 62.365692 
2, 35000, 32.594505, 53.572426 
4, 35000, 21.156893, 42.296974 
8, 35000, 14.794989, 36.509895 
16, 35000, 32.320087, 55.189514 
1, 40000, 64.086098, 91.315430 
2, 40000, 47.029198, 74.503281 
4, 40000, 32.037926, 59.676712 
8, 40000, 19.925924, 48.298149 
16, 40000, 42.266850, 71.891220 
1, 45000, 80.960625, 115.203636 
2, 45000, 55.515686, 89.775391 
4, 45000, 41.729683, 76.314949 
8, 45000, 27.102421, 62.567230 
16, 45000, 56.334938, 93.322502 
1, 50000, 115.194221, 157.395477 
2, 50000, 71.995865, 114.496750 
4, 50000, 50.155098, 92.896767 
8, 50000, 37.396015, 81.534988 
16, 50000, 83.228790, 129.624603
