Num Threads, Size, Seconds
1, 1000, 0.020263 
1, 2000, 0.045405 
1, 3000, 0.101997 
1, 4000, 0.181641 
1, 5000, 0.283799 
1, 6000, 0.408773 
1, 7000, 0.556857 
1, 8000, 0.726150 
1, 9000, 0.917918 
1, 10000, 1.133924 
1, 11000, 1.371332 
1, 12000, 1.632924 
1, 13000, 1.924527 
1, 14000, 2.229251 
1, 15000, 2.549026 
1, 1000, 0.011500 
1, 2000, 0.046235 
1, 3000, 0.102476 
1, 4000, 0.185210 
1, 5000, 0.284419 
1, 6000, 0.409773 
1, 7000, 0.557435 
1, 8000, 0.726541 
1, 9000, 0.919276 
1, 10000, 1.134556 
1, 11000, 1.384287 
1, 12000, 1.636111 
1, 13000, 1.918825 
1, 14000, 2.222504 
1, 15000, 2.551378 
1, 1000, 0.012106 
1, 2000, 0.046087 
1, 3000, 0.102833 
1, 4000, 0.183620 
1, 5000, 0.284856 
1, 6000, 0.416402 
1, 7000, 0.557518 
1, 8000, 0.728039 
1, 9000, 0.919829 
1, 10000, 1.135007 
1, 11000, 1.373351 
1, 12000, 1.632551 
1, 13000, 1.917317 
1, 14000, 2.230117 
1, 15000, 2.553219 
1, 1000, 0.012105 
1, 2000, 0.049054 
1, 3000, 0.102832 
1, 4000, 0.183250 
1, 5000, 0.284800 
1, 6000, 0.409272 
1, 7000, 0.556907 
1, 8000, 0.728461 
1, 9000, 0.918843 
1, 10000, 1.133728 
1, 11000, 1.373480 
1, 12000, 1.640157 
1, 13000, 1.920677 
1, 14000, 2.224428 
1, 15000, 2.552883 
1, 1000, 0.011493 
1, 2000, 0.049296 
1, 3000, 0.102730 
1, 4000, 0.182232 
1, 5000, 0.285107 
1, 6000, 0.408593 
1, 7000, 0.557581 
1, 8000, 0.731442 
1, 9000, 0.921512 
1, 10000, 1.135772 
1, 11000, 1.373608 
1, 12000, 1.634294 
1, 13000, 1.917762 
1, 14000, 2.233703 
1, 15000, 2.552381 
1, 20000, 4.537120 
1, 25000, 7.091028 
1, 30000, 10.202462 
1, 35000, 13.940701 
1, 40000, 18.187613 
1, 45000, 22.954664 
1, 50000, 28.338154 
1, 55000, 34.242615 
1, 60000, 40.765877 
1, 65000, 47.828293 
1, 70000, 55.453892 
1, 75000, 63.647861 
1, 80000, 72.438690 
1, 85000, 81.739914 
1, 90000, 91.551979 
1, 95000, 116.578400 
1, 100000, 143.781662 
1, 20000, 4.547055 
1, 25000, 7.086168 
1, 30000, 10.201118 
1, 35000, 13.941501 
1, 40000, 18.191950 
1, 45000, 22.958149 
1, 50000, 28.330423 
1, 55000, 34.246174 
1, 60000, 40.799805 
1, 65000, 47.829922 
1, 70000, 55.454716 
1, 75000, 63.641136 
1, 80000, 72.442406 
1, 85000, 81.728333 
1, 90000, 91.580498 
1, 95000, 116.282478 
1, 100000, 144.073318 
1, 20000, 4.537957 
1, 25000, 7.093150 
1, 30000, 10.207906 
1, 35000, 13.937490 
1, 40000, 18.192911 
1, 45000, 22.964308 
1, 50000, 28.338387 
1, 55000, 34.275852 
1, 60000, 40.784882 
1, 65000, 47.834503 
1, 70000, 55.484474 
1, 75000, 63.644215 
1, 80000, 72.424919 
1, 85000, 81.734398 
1, 90000, 91.526276 
1, 95000, 116.716133 
1, 100000, 142.835098 
1, 20000, 4.544495 
1, 25000, 7.095351 
1, 30000, 10.198641 
1, 35000, 13.925261 
1, 40000, 18.185707 
1, 45000, 22.960800 
1, 50000, 28.345886 
1, 55000, 34.273594 
1, 60000, 40.771328 
1, 65000, 47.841949 
1, 70000, 55.501335 
1, 75000, 63.758240 
1, 80000, 72.420006 
1, 85000, 81.674042 
1, 90000, 91.534943 
1, 95000, 119.394241 
1, 100000, 144.113266 
1, 20000, 4.541569 
1, 25000, 7.097075 
1, 30000, 10.215324 
1, 35000, 14.071375 
1, 40000, 18.194323 
1, 45000, 22.986687 
1, 50000, 28.337004 
1, 55000, 34.286053 
1, 60000, 40.760223 
1, 65000, 47.867695 
1, 70000, 55.470009 
1, 75000, 63.619835 
1, 80000, 72.424332 
1, 85000, 81.729233 
1, 90000, 91.612625 
1, 95000, 117.660988 
1, 100000, 143.278229 
