Num_threads, size, secs, AVG_already_solved, SD_already_solved, AVG_iterations, SD_iterations, thread_assigment_method
  1,       1000,  0.11934,         0.0000,         0.0000,   1861863.0000,         0.0000, 1
  1,       1000,  0.11855,         0.0000,         0.0000,   1860601.0000,         0.0000, 1
  1,       1000,  0.11857,         0.0000,         0.0000,   1860601.0000,         0.0000, 1
  1,       1000,  0.11881,         0.0000,         0.0000,   1860601.0000,         0.0000, 1
  1,       1000,  0.11868,         0.0000,         0.0000,   1860601.0000,         0.0000, 1
  2,       1000,  0.06932,     21644.0000,      1244.5079,   1032268.0000,     13204.5120, 1
  2,       1000,  0.06923,     21474.0000,       790.5454,   1032050.0000,     14519.7306, 1
  2,       1000,  0.06918,     21407.5000,      1163.1907,   1032142.0000,     14494.2748, 1
  2,       1000,  0.06938,     21393.0000,      1079.0449,   1032888.5000,     14239.0093, 1
  2,       1000,  0.06914,     21801.5000,      1754.3319,   1032196.0000,     14091.2239, 1
  3,       1000,  0.06930,     66497.0000,     18643.0697,    955817.0000,     27882.3491, 1
  3,       1000,  0.06765,     63168.0000,      4567.2381,    943386.0000,     10226.9805, 1
  3,       1000,  0.06776,     63296.6667,      5699.4724,    943746.0000,      9467.3585, 1
  3,       1000,  0.06868,     66123.0000,     18259.5837,    955688.6667,     27883.5292, 1
  3,       1000,  0.07870,    122625.3333,     97745.7713,    951795.0000,    212262.5121, 1
  4,       1000,  0.06814,     93350.2500,     26306.5605,    926758.0000,     34595.7470, 1
  4,       1000,  0.06410,    141589.5000,    126656.0654,    816852.0000,    137163.5678, 1
  4,       1000,  0.06664,     79457.7500,      4473.3789,    903160.7500,     13817.9922, 1
  4,       1000,  0.06804,     89879.7500,     22993.7243,    929090.2500,     32840.1013, 1
  4,       1000,  0.07152,     97797.2500,     12726.1947,    966457.7500,     13789.1028, 1
  5,       1000,  0.07364,    171448.8000,    124063.4635,    914177.8000,    122686.0856, 1
  5,       1000,  0.06999,    156160.0000,    115806.4711,    865953.0000,    114274.1853, 1
  5,       1000,  0.07389,    168827.0000,    122200.3690,    914097.8000,    122413.9248, 1
  5,       1000,  0.07332,    163102.2000,    110692.1490,    900827.2000,    130476.1964, 1
  5,       1000,  0.06997,    158508.8000,    118169.2097,    868635.0000,    128775.4131, 1
  6,       1000,  0.07570,    224402.1667,    134338.6410,    889624.1667,    136211.9300, 1
