


dp_mem
NUM_THREADS, SEQUENCE_LENGTH, SECS
1, 1000, 0.059558 
1, 1000, 0.059514 
1, 1000, 0.062836 
1, 1000, 0.062780 
1, 1000, 0.062421 
1, 1000, 0.062764 
1, 2000, 0.249678 
1, 2000, 0.250096 
1, 2000, 0.266151 
1, 2000, 0.264045 
1, 2000, 0.264270 
1, 2000, 0.250977 
1, 3000, 0.551611 
1, 3000, 0.551266 
1, 3000, 0.551162 
1, 3000, 0.521440 
1, 3000, 0.521511 
1, 3000, 0.595716 
1, 4000, 1.054469 
1, 4000, 0.909087 
1, 4000, 0.948678 
1, 4000, 1.071622 
1, 4000, 0.895968 
1, 4000, 1.080516 
1, 5000, 1.709348 
1, 5000, 1.609150 
1, 5000, 1.477109 
1, 5000, 1.512920 
1, 5000, 1.598700 
1, 5000, 1.572872 
1, 6000, 2.308170 
1, 6000, 2.365310 
1, 6000, 2.212331 
1, 6000, 2.331038 
1, 6000, 2.223163 
1, 6000, 2.189733 
1, 7000, 3.139586 
1, 7000, 3.208194 
1, 7000, 3.018471 
1, 7000, 3.144486 
1, 7000, 3.097510 
1, 7000, 2.859155 
1, 8000, 4.058665 
1, 8000, 3.803947 
1, 8000, 3.684515 
1, 8000, 3.799301 
1, 8000, 3.816583 
1, 8000, 3.954355 
1, 9000, 4.790271 
1, 9000, 4.974778 
1, 9000, 5.062511 
1, 9000, 4.858969 
1, 9000, 5.106896 
1, 9000, 4.921033 
1, 10000, 6.306477 
1, 10000, 6.120597 
1, 10000, 5.930693 
1, 10000, 6.204695 
1, 10000, 6.379176 
1, 10000, 6.437156 
1, 11000, 7.908662 
1, 11000, 7.512408 
1, 11000, 7.483953 
1, 11000, 8.001227 
1, 11000, 6.799177 
1, 11000, 7.138614 
1, 12000, 8.361275 
1, 12000, 9.370248 
1, 12000, 8.588006 
1, 12000, 8.342278 
1, 12000, 9.572234 
1, 12000, 9.173231 
1, 13000, 10.736260 
1, 13000, 9.497460 
1, 13000, 10.455739 
1, 13000, 11.075864 
1, 13000, 10.535198 
1, 13000, 10.489998 
1, 14000, 12.376002 
1, 14000, 12.271226 
1, 14000, 12.654901 
1, 14000, 11.618420 
1, 14000, 12.027628 
1, 14000, 12.764680 
1, 15000, 13.162708 
1, 15000, 13.216611 
1, 15000, 14.188451 
1, 15000, 13.621923 
1, 15000, 13.175707 
1, 15000, 13.678730 
1, 16000, 16.390793 
1, 16000, 16.967386 
1, 16000, 15.217156 
1, 16000, 15.353969 
1, 16000, 15.977654 
1, 16000, 17.400976 
1, 17000, 16.443426 
1, 17000, 17.944021 
1, 17000, 18.528564 
1, 17000, 17.720125 
1, 17000, 17.153374 
1, 17000, 18.024017 
1, 18000, 18.587088 
1, 18000, 20.052647 
1, 18000, 21.716894 
1, 18000, 21.371529 
1, 18000, 20.658442 
1, 18000, 20.286180 
1, 19000, 22.643667 
1, 19000, 23.042381 
1, 19000, 22.236567 
1, 19000, 24.122269 
1, 19000, 22.282904 
1, 19000, 23.587336 
1, 20000, 25.545324 
1, 20000, 22.508863 
1, 20000, 26.998602 
1, 20000, 25.104980 
1, 20000, 25.276798 
1, 20000, 25.534101 
2, 1000, 0.036545 
2, 1000, 0.037142 
2, 1000, 0.031949 
2, 1000, 0.030269 
2, 1000, 0.030789 
2, 1000, 0.033491 
2, 2000, 0.124330 
2, 2000, 0.116985 
2, 2000, 0.128428 
2, 2000, 0.124083 
2, 2000, 0.126820 
2, 2000, 0.128455 
2, 3000, 0.287048 
2, 3000, 0.267351 
2, 3000, 0.274829 
2, 3000, 0.293791 
2, 3000, 0.267145 
2, 3000, 0.437238 
2, 4000, 0.497793 
2, 4000, 0.805925 
2, 4000, 0.514395 
2, 4000, 0.497998 
2, 4000, 0.818241 
2, 4000, 0.807161 
2, 5000, 0.771097 
2, 5000, 0.704015 
2, 5000, 0.771113 
2, 5000, 0.786225 
2, 5000, 0.809585 
2, 5000, 0.753948 
2, 6000, 1.145617 
2, 6000, 1.073049 
2, 6000, 1.128372 
2, 6000, 1.697498 
2, 6000, 1.033683 
2, 6000, 1.113874 
2, 7000, 1.468999 
2, 7000, 1.337199 
2, 7000, 1.827272 
2, 7000, 1.624595 
2, 7000, 1.589627 
2, 7000, 2.545637 
2, 8000, 1.851728 
2, 8000, 2.063123 
2, 8000, 1.988538 
2, 8000, 1.847265 
2, 8000, 1.866390 
2, 8000, 2.168793 
2, 9000, 2.523062 
2, 9000, 2.515014 
2, 9000, 2.425807 
2, 9000, 2.287460 
2, 9000, 4.002461 
2, 9000, 2.604928 
2, 10000, 2.754376 
2, 10000, 2.926741 
2, 10000, 3.412526 
2, 10000, 3.181154 
2, 10000, 2.835806 
2, 10000, 4.800272 
2, 11000, 3.705028 
2, 11000, 3.744194 
2, 11000, 3.658071 
2, 11000, 3.731492 
2, 11000, 3.489016 
2, 11000, 3.509796 
2, 12000, 4.420912 
2, 12000, 4.241179 
2, 12000, 4.311275 
2, 12000, 4.391005 
2, 12000, 7.722253 
2, 12000, 4.505859 
2, 13000, 8.308553 
2, 13000, 4.907613 
2, 13000, 5.217038 
2, 13000, 5.176083 
2, 13000, 5.756338 
2, 13000, 5.258340 
2, 14000, 5.899114 
2, 14000, 5.918013 
2, 14000, 6.069904 
2, 14000, 6.086121 
2, 14000, 6.300216 
2, 14000, 5.876930 
2, 15000, 7.002118 
2, 15000, 6.730694 
2, 15000, 7.129944 
2, 15000, 6.792882 
2, 15000, 6.736114 
2, 15000, 6.823693 
2, 16000, 8.085118 
2, 16000, 8.060420 
2, 16000, 7.705547 
2, 16000, 8.075974 
2, 16000, 8.419617 
2, 16000, 8.103635 
2, 17000, 8.856956 
2, 17000, 8.650040 
2, 17000, 8.931553 
2, 17000, 9.002256 
2, 17000, 9.085638 
2, 17000, 8.849054 
2, 18000, 9.939061 
2, 18000, 10.602404 
2, 18000, 10.006939 
2, 18000, 9.698438 
2, 18000, 10.377761 
2, 18000, 10.192761 
2, 19000, 11.227995 
2, 19000, 11.164272 
2, 19000, 11.050025 
2, 19000, 11.451912 
2, 19000, 11.157258 
2, 19000, 10.505216 
2, 20000, 12.676582 
2, 20000, 13.023866 
2, 20000, 11.435630 
2, 20000, 12.329757 
2, 20000, 12.536022 
2, 20000, 12.369527 
3, 1000, 0.023999 
3, 1000, 0.028645 
3, 1000, 0.023564 
3, 1000, 0.022440 
3, 1000, 0.021716 
3, 1000, 0.026275 
3, 2000, 0.084488 
3, 2000, 0.086753 
3, 2000, 0.088008 
3, 2000, 0.084323 
3, 2000, 0.084837 
3, 2000, 0.080708 
3, 3000, 0.182483 
3, 3000, 0.189602 
3, 3000, 0.183316 
3, 3000, 0.194439 
3, 3000, 0.199951 
3, 3000, 0.191889 
3, 4000, 0.358013 
3, 4000, 0.383436 
3, 4000, 0.373051 
3, 4000, 0.322384 
3, 4000, 0.313180 
3, 4000, 0.359764 
3, 5000, 0.575116 
3, 5000, 0.511531 
3, 5000, 0.468384 
3, 5000, 0.557155 
3, 5000, 0.536962 
3, 5000, 0.527833 
3, 6000, 0.833259 
3, 6000, 0.757798 
3, 6000, 0.732866 
3, 6000, 0.802107 
3, 6000, 0.720834 
3, 6000, 0.747227 
3, 7000, 1.104604 
3, 7000, 1.113731 
3, 7000, 1.088403 
3, 7000, 1.033695 
3, 7000, 1.103704 
3, 7000, 1.021343 
3, 8000, 1.358232 
3, 8000, 1.251889 
3, 8000, 1.862732 
3, 8000, 1.362162 
3, 8000, 1.326389 
3, 8000, 1.426995 
3, 9000, 1.683623 
3, 9000, 1.731946 
3, 9000, 1.658823 
3, 9000, 1.672560 
3, 9000, 2.227936 
3, 9000, 1.730976 
3, 10000, 2.226945 
3, 10000, 2.203201 
3, 10000, 2.225544 
3, 10000, 2.231438 
3, 10000, 2.308386 
3, 10000, 1.971536 
3, 11000, 2.592797 
3, 11000, 2.839988 
3, 11000, 2.757969 
3, 11000, 2.652127 
3, 11000, 2.651268 
3, 11000, 2.629417 
3, 12000, 2.984365 
3, 12000, 2.808600 
3, 12000, 2.902262 
3, 12000, 3.110347 
3, 12000, 3.191905 
3, 12000, 3.140086 
3, 13000, 3.568496 
3, 13000, 3.704456 
3, 13000, 3.609871 
3, 13000, 3.633438 
3, 13000, 3.281919 
3, 13000, 3.656494 
3, 14000, 4.003571 
3, 14000, 4.146502 
3, 14000, 4.120652 
3, 14000, 4.070718 
3, 14000, 4.299469 
3, 14000, 4.118608 
3, 15000, 4.959541 
3, 15000, 4.448454 
3, 15000, 4.847490 
3, 15000, 4.902918 
3, 15000, 4.470108 
3, 15000, 4.863380 
3, 16000, 5.360558 
3, 16000, 4.897959 
3, 16000, 5.428742 
3, 16000, 5.518377 
3, 16000, 5.363882 
3, 16000, 4.929852 
3, 17000, 5.524151 
3, 17000, 5.884597 
3, 17000, 5.977875 
3, 17000, 6.265663 
3, 17000, 6.003521 
3, 17000, 5.767619 
3, 18000, 7.038810 
3, 18000, 6.947982 
3, 18000, 6.609954 
3, 18000, 6.421392 
3, 18000, 7.114107 
3, 18000, 7.510708 
3, 19000, 7.734062 
3, 19000, 7.367298 
3, 19000, 7.517031 
3, 19000, 7.636493 
3, 19000, 7.623309 
3, 19000, 7.389718 
3, 20000, 8.575481 
3, 20000, 8.754457 
3, 20000, 8.348332 
3, 20000, 8.451762 
3, 20000, 8.269445 
3, 20000, 8.664349 
4, 1000, 0.020958 
4, 1000, 0.019771 
4, 1000, 0.021712 
4, 1000, 0.019970 
4, 1000, 0.017371 
4, 1000, 0.018256 
4, 2000, 0.078987 
4, 2000, 0.069803 
4, 2000, 0.087041 
