


seq_tab
NUM_THREADS, SEQUENCE_LENGTH, SECS
1, 1000, 0.015400
1, 1000, 0.014436
1, 1000, 0.011838
1, 1000, 0.013475
1, 1000, 0.011837
1, 1000, 0.012150
1, 2000, 0.047520
1, 2000, 0.047798
1, 2000, 0.048409
1, 2000, 0.048271
1, 2000, 0.047700
1, 2000, 0.048303
1, 3000, 0.107361
1, 3000, 0.107096
1, 3000, 0.110362
1, 3000, 0.107379
1, 3000, 0.108228
1, 3000, 0.107381
1, 4000, 0.191102
1, 4000, 0.191116
1, 4000, 0.192077
1, 4000, 0.190991
1, 4000, 0.194404
1, 4000, 0.190848
1, 5000, 0.296829
1, 5000, 0.296783
1, 5000, 0.299123
1, 5000, 0.300300
1, 5000, 0.302981
1, 5000, 0.302821
1, 6000, 0.433558
1, 6000, 0.437076
1, 6000, 0.446855
1, 6000, 0.435903
1, 6000, 0.432121
1, 6000, 0.436230
1, 7000, 0.638827
1, 7000, 0.597222
1, 7000, 0.590994
1, 7000, 0.598616
1, 7000, 0.587221
1, 7000, 0.590888
1, 8000, 0.783930
1, 8000, 0.771019
1, 8000, 0.773793
1, 8000, 0.770652
1, 8000, 0.802401
1, 8000, 0.773122
1, 9000, 0.969109
1, 9000, 0.978963
1, 9000, 0.971527
1, 9000, 1.002227
1, 9000, 0.979788
1, 9000, 1.107502
1, 10000, 1.223959
1, 10000, 1.197378
1, 10000, 1.198383
1, 10000, 1.208084
1, 10000, 1.220965
1, 10000, 1.196724
1, 11000, 1.477539
1, 11000, 1.458789
1, 11000, 1.508290
1, 11000, 1.533266
1, 11000, 1.491926
1, 11000, 1.452513
1, 12000, 1.760457
1, 12000, 1.714951
1, 12000, 1.718732
1, 12000, 1.720432
1, 12000, 1.739929
1, 12000, 1.766321
1, 13000, 2.057750
1, 13000, 2.020683
1, 13000, 2.060734
1, 13000, 2.008974
1, 13000, 2.023449
1, 13000, 2.056955
1, 14000, 2.872170
1, 14000, 2.425467
1, 14000, 2.405185
1, 14000, 2.377517
1, 14000, 2.403348
1, 14000, 2.387865
1, 15000, 2.720284
1, 15000, 2.706457
1, 15000, 2.833730
1, 15000, 2.752489
1, 15000, 2.713536
1, 15000, 2.767024
1, 16000, 3.495696
1, 16000, 3.166257
1, 16000, 3.148482
1, 16000, 3.121831
1, 16000, 3.061757
1, 16000, 3.122398
1, 17000, 3.530910
1, 17000, 3.514252
1, 17000, 3.508405
1, 17000, 3.546545
1, 17000, 3.574043
1, 17000, 3.457133
1, 18000, 3.892208
1, 18000, 3.878771
1, 18000, 3.895713
1, 18000, 3.875229
1, 18000, 4.025551
1, 18000, 3.987358
1, 19000, 4.541162
1, 19000, 4.340695
1, 19000, 4.309770
1, 19000, 4.283421
1, 19000, 4.287668
1, 19000, 4.295357
1, 20000, 4.734037
1, 20000, 4.729445
1, 20000, 4.762658
1, 20000, 4.733081
1, 20000, 4.733746
1, 20000, 4.719161
