


dp_wave
NUM_THREADS, SEQUENCE_LENGTH, SECS
1, 1000, 0.037174 
1, 1000, 0.018860 
1, 1000, 0.018881 
1, 1000, 0.018820 
1, 1000, 0.018882 
1, 1000, 0.018696 
1, 2000, 0.077788 
1, 2000, 0.078160 
1, 2000, 0.077916 
1, 2000, 0.087850 
1, 2000, 0.078034 
1, 2000, 0.084014 
1, 3000, 0.191083 
1, 3000, 0.187754 
1, 3000, 0.187838 
1, 3000, 0.187716 
1, 3000, 0.189790 
1, 3000, 0.190510 
1, 4000, 0.379615 
1, 4000, 0.361695 
1, 4000, 0.360297 
1, 4000, 0.362041 
1, 4000, 0.356798 
1, 4000, 0.362635 
1, 5000, 0.577436 
1, 5000, 0.575553 
1, 5000, 0.578882 
1, 5000, 0.605876 
1, 5000, 0.586704 
1, 5000, 0.580021 
1, 6000, 0.868607 
1, 6000, 0.881025 
1, 6000, 0.894930 
1, 6000, 0.846854 
1, 6000, 0.857585 
1, 6000, 0.850854 
1, 7000, 1.171537 
1, 7000, 1.197777 
1, 7000, 1.176043 
1, 7000, 1.174744 
1, 7000, 1.180664 
1, 7000, 1.302165 
1, 8000, 1.624264 
1, 8000, 1.570934 
1, 8000, 1.564642 
1, 8000, 1.568350 
1, 8000, 1.555778 
1, 8000, 1.581025 
1, 9000, 1.990740 
1, 9000, 1.972050 
1, 9000, 2.001605 
1, 9000, 2.005141 
1, 9000, 2.018950 
1, 9000, 2.019396 
1, 10000, 2.468286 
1, 10000, 2.529731 
1, 10000, 2.486514 
1, 10000, 2.485961 
1, 10000, 2.447453 
1, 10000, 2.465028 
1, 11000, 2.980948 
1, 11000, 2.996741 
1, 11000, 2.973426 
1, 11000, 2.964896 
1, 11000, 2.951938 
1, 11000, 2.983052 
1, 12000, 3.546759 
1, 12000, 3.545551 
1, 12000, 3.568238 
1, 12000, 3.531146 
1, 12000, 3.549592 
1, 12000, 3.545969 
1, 13000, 4.152025 
1, 13000, 4.148085 
1, 13000, 4.143765 
1, 13000, 4.126258 
1, 13000, 4.238325 
1, 13000, 4.201239 
1, 14000, 4.790242 
1, 14000, 4.860788 
1, 14000, 4.780689 
1, 14000, 4.865884 
1, 14000, 4.788227 
1, 14000, 4.832397 
1, 15000, 5.625636 
1, 15000, 5.676137 
1, 15000, 5.589937 
1, 15000, 5.546464 
1, 15000, 5.540798 
1, 15000, 5.634646 
1, 16000, 6.413092 
1, 16000, 6.336528 
1, 16000, 6.382469 
1, 16000, 6.338516 
1, 16000, 6.379308 
1, 16000, 6.385031 
1, 17000, 7.264936 
1, 17000, 7.198848 
1, 17000, 7.221272 
1, 17000, 7.236585 
1, 17000, 7.201343 
1, 17000, 7.248164 
1, 18000, 8.149770 
1, 18000, 8.117221 
1, 18000, 8.198821 
1, 18000, 8.540752 
1, 18000, 8.143636 
1, 18000, 8.158897 
1, 19000, 9.229715 
1, 19000, 9.169677 
1, 19000, 10.372443 
1, 19000, 9.587862 
1, 19000, 9.201334 
1, 19000, 9.073640 
1, 20000, 10.505640 
1, 20000, 12.028950 
1, 20000, 10.288254 
1, 20000, 10.883351 
1, 20000, 11.710082 
1, 20000, 11.145028 
2, 1000, 0.028411 
2, 1000, 0.020248 
2, 1000, 0.022129 
2, 1000, 0.028548 
2, 1000, 0.020889 
2, 1000, 0.028807 
2, 2000, 0.089386 
2, 2000, 0.085764 
2, 2000, 0.081270 
2, 2000, 0.086793 
2, 2000, 0.086902 
2, 2000, 0.087764 
2, 3000, 0.201963 
2, 3000, 0.196789 
2, 3000, 0.166183 
2, 3000, 0.196324 
2, 3000, 0.194624 
2, 3000, 0.168569 
2, 4000, 0.301595 
2, 4000, 0.345018 
2, 4000, 0.298850 
2, 4000, 0.328168 
2, 4000, 0.359197 
2, 4000, 0.332385 
2, 5000, 0.465691 
2, 5000, 0.497561 
2, 5000, 0.539156 
2, 5000, 0.501483 
2, 5000, 0.532495 
2, 5000, 0.535407 
2, 6000, 0.751749 
2, 6000, 0.686113 
2, 6000, 0.772729 
2, 6000, 0.773088 
2, 6000, 0.731720 
2, 6000, 0.697924 
2, 7000, 1.051653 
2, 7000, 0.951382 
2, 7000, 0.981841 
2, 7000, 1.026062 
2, 7000, 1.029583 
2, 7000, 1.040156 
2, 8000, 1.348101 
2, 8000, 1.382387 
2, 8000, 1.326774 
2, 8000, 1.233415 
2, 8000, 1.382137 
2, 8000, 1.315555 
2, 9000, 1.661583 
2, 9000, 1.700001 
2, 9000, 1.627047 
2, 9000, 1.710746 
2, 9000, 1.689264 
2, 9000, 1.588874 
2, 10000, 2.058764 
2, 10000, 2.022087 
2, 10000, 1.951941 
2, 10000, 1.900480 
2, 10000, 1.995263 
2, 10000, 1.951867 
2, 11000, 2.412854 
2, 11000, 2.423674 
2, 11000, 2.429477 
2, 11000, 2.405648 
2, 11000, 2.422639 
2, 11000, 2.386845 
2, 12000, 2.839003 
2, 12000, 2.832263 
2, 12000, 2.830896 
2, 12000, 2.857171 
2, 12000, 3.037680 
2, 12000, 2.851260 
2, 13000, 3.482393 
2, 13000, 3.354475 
2, 13000, 3.301130 
2, 13000, 3.322136 
2, 13000, 3.284315 
2, 13000, 3.316387 
2, 14000, 4.172518 
2, 14000, 3.800810 
2, 14000, 3.845749 
2, 14000, 3.966052 
2, 14000, 3.864311 
2, 14000, 3.894685 
2, 15000, 4.524836 
2, 15000, 4.418093 
2, 15000, 4.508018 
2, 15000, 4.385520 
2, 15000, 4.478768 
2, 15000, 4.400948 
2, 16000, 4.926947 
2, 16000, 5.138687 
2, 16000, 5.134427 
2, 16000, 5.027253 
2, 16000, 5.224192 
2, 16000, 5.130296 
2, 17000, 5.717886 
2, 17000, 5.840221 
2, 17000, 6.040322 
2, 17000, 5.911284 
2, 17000, 5.633177 
2, 17000, 5.662169 
2, 18000, 6.376635 
2, 18000, 6.376807 
2, 18000, 6.347467 
2, 18000, 6.377978 
2, 18000, 6.284912 
2, 18000, 6.359144 
2, 19000, 7.180445 
2, 19000, 7.244710 
2, 19000, 7.177861 
2, 19000, 7.254583 
2, 19000, 7.176809 
2, 19000, 7.365733 
2, 20000, 8.051312 
2, 20000, 7.991088 
2, 20000, 8.046035 
2, 20000, 8.023190 
2, 20000, 7.906180 
2, 20000, 8.408135 
3, 1000, 0.019661 
3, 1000, 0.019037 
3, 1000, 0.020015 
3, 1000, 0.022303 
3, 1000, 0.021670 
3, 1000, 0.017933 
3, 2000, 0.057174 
3, 2000, 0.057526 
3, 2000, 0.075757 
3, 2000, 0.070688 
3, 2000, 0.072420 
3, 2000, 0.075055 
3, 3000, 0.151759 
3, 3000, 0.139104 
3, 3000, 0.124914 
3, 3000, 0.140892 
3, 3000, 0.139168 
3, 3000, 0.142568 
3, 4000, 0.239107 
3, 4000, 0.311412 
3, 4000, 0.238473 
3, 4000, 0.253990 
3, 4000, 0.247438 
3, 4000, 0.248636 
3, 5000, 0.449523 
3, 5000, 0.376660 
3, 5000, 0.341425 
3, 5000, 0.379254 
3, 5000, 0.383380 
3, 5000, 0.483800 
3, 6000, 0.619267 
3, 6000, 0.550726 
3, 6000, 0.556380 
3, 6000, 0.566250 
3, 6000, 0.639056 
3, 6000, 0.561794 
3, 7000, 0.684422 
3, 7000, 0.689943 
3, 7000, 0.758854 
3, 7000, 0.824597 
3, 7000, 0.749730 
3, 7000, 0.768066 
3, 8000, 0.977232 
3, 8000, 1.042145 
3, 8000, 1.144041 
3, 8000, 0.977388 
3, 8000, 0.949890 
3, 8000, 0.992911 
3, 9000, 1.394393 
3, 9000, 1.066509 
3, 9000, 1.262689 
3, 9000, 1.348091 
3, 9000, 1.245166 
3, 9000, 1.544659 
3, 10000, 1.659129 
3, 10000, 1.446609 
3, 10000, 1.511018 
3, 10000, 1.996639 
3, 10000, 1.544065 
3, 10000, 1.847313 
3, 11000, 1.839424 
3, 11000, 2.294186 
3, 11000, 1.814887 
3, 11000, 1.894382 
3, 11000, 1.799082 
3, 11000, 1.993643 
3, 12000, 2.109894 
3, 12000, 2.172342 
3, 12000, 2.789802 
3, 12000, 2.182862 
3, 12000, 2.242844 
3, 12000, 2.799640 
3, 13000, 3.325137 
3, 13000, 3.034386 
3, 13000, 3.149475 
3, 13000, 3.379449 
3, 13000, 3.330544 
3, 13000, 3.167900 
3, 14000, 3.970786 
3, 14000, 2.989431 
3, 14000, 3.656139 
3, 14000, 2.920097 
3, 14000, 3.966595 
3, 14000, 3.055798 
3, 15000, 3.585633 
3, 15000, 3.533029 
3, 15000, 3.589961 
3, 15000, 3.630881 
3, 15000, 4.539899 
3, 15000, 3.542350 
3, 16000, 5.060337 
3, 16000, 4.076682 
