Num_threads, sequence_length, time_after_state_init, full_run_time
1, 1000, 0.018764, 0.020696 
2, 1000, 0.020861, 0.021904 
4, 1000, 0.015233, 0.016067 
8, 1000, 0.036647, 0.037392 
16, 1000, 0.178748, 0.179964 
1, 2000, 0.074917, 0.080426 
2, 2000, 0.085933, 0.091583 
4, 2000, 0.055188, 0.057628 
8, 2000, 0.076142, 0.077795 
16, 2000, 0.333071, 0.335147 
1, 3000, 0.182301, 0.191351 
2, 3000, 0.185424, 0.190597 
4, 3000, 0.140817, 0.145856 
8, 3000, 0.120888, 0.123800 
16, 3000, 0.489304, 0.491966 
1, 4000, 0.339501, 0.348673 
2, 4000, 0.271096, 0.278614 
4, 4000, 0.169180, 0.177096 
8, 4000, 0.202251, 0.205825 
16, 4000, 0.733823, 0.738835 
1, 5000, 0.543963, 0.556559 
2, 5000, 0.503768, 0.518537 
4, 5000, 0.263487, 0.274581 
8, 5000, 0.289474, 0.294427 
16, 5000, 0.930903, 0.936728 
1, 6000, 0.807611, 0.825825 
2, 6000, 0.697638, 0.711082 
4, 6000, 0.557007, 0.573304 
8, 6000, 0.435805, 0.442121 
16, 6000, 1.267285, 1.273570 
1, 7000, 1.118192, 1.138861 
2, 7000, 0.921062, 0.939488 
4, 7000, 0.509320, 0.516042 
8, 7000, 0.577121, 0.584686 
16, 7000, 1.562878, 1.569413 
1, 8000, 1.473520, 1.504290 
2, 8000, 1.305845, 1.330563 
4, 8000, 0.648628, 0.673735 
8, 8000, 0.742020, 0.765390 
16, 8000, 1.949468, 1.957555 
1, 9000, 1.873548, 1.908767 
2, 9000, 1.588723, 1.614243 
4, 9000, 1.252552, 1.278829 
8, 9000, 0.930665, 0.956519 
16, 9000, 2.246004, 2.255364 
1, 10000, 2.302845, 2.340135 
2, 10000, 1.807376, 1.840987 
4, 10000, 1.178084, 1.210665 
8, 10000, 1.155608, 1.165156 
16, 10000, 2.757655, 2.767667 
1, 11000, 2.810844, 2.851814 
2, 11000, 2.285313, 2.323766 
4, 11000, 1.248026, 1.258495 
8, 11000, 1.403114, 1.414667 
16, 11000, 3.225620, 3.236742 
1, 12000, 3.361000, 3.405649 
2, 12000, 2.733449, 2.776475 
4, 12000, 1.830492, 1.842100 
8, 12000, 1.587004, 1.632281 
16, 12000, 3.690807, 3.702769 
1, 13000, 3.900904, 3.958396 
2, 13000, 2.972494, 3.029962 
4, 13000, 1.789202, 1.844602 
8, 13000, 1.857668, 1.915747 
16, 13000, 4.395200, 4.408288 
1, 14000, 4.578739, 4.642089 
2, 14000, 3.580368, 3.645105 
4, 14000, 2.055662, 2.117450 
8, 14000, 2.044681, 2.058399 
16, 14000, 5.002148, 5.018374 
1, 15000, 5.268805, 5.344517 
2, 15000, 4.355400, 4.427020 
4, 15000, 2.351535, 2.366026 
8, 15000, 2.445617, 2.460122 
16, 15000, 5.638273, 5.654570 
1, 1000, 0.017853, 0.019019 
2, 1000, 0.022823, 0.024545 
4, 1000, 0.014481, 0.015422 
8, 1000, 0.038118, 0.039173 
16, 1000, 0.178542, 0.179467 
1, 2000, 0.076670, 0.079584 
2, 2000, 0.082671, 0.088785 
4, 2000, 0.063193, 0.066191 
8, 2000, 0.076220, 0.078113 
16, 2000, 0.328935, 0.331355 
1, 3000, 0.181149, 0.187722 
2, 3000, 0.155003, 0.159933 
4, 3000, 0.095339, 0.100078 
8, 3000, 0.128240, 0.131185 
16, 3000, 0.482012, 0.485668 
1, 4000, 0.341229, 0.353874 
2, 4000, 0.308472, 0.316684 
4, 4000, 0.254055, 0.262283 
8, 4000, 0.215020, 0.218824 
16, 4000, 0.720924, 0.724960 
1, 5000, 0.548659, 0.561310 
2, 5000, 0.511202, 0.524520 
4, 5000, 0.266290, 0.277316 
8, 5000, 0.303025, 0.307648 
16, 5000, 0.990445, 0.995759 
1, 6000, 0.798285, 0.812393 
2, 6000, 0.728228, 0.744752 
4, 6000, 0.515954, 0.531450 
8, 6000, 0.428878, 0.434305 
16, 6000, 1.275553, 1.281300 
1, 7000, 1.110306, 1.130053 
2, 7000, 0.985080, 1.003961 
4, 7000, 0.499240, 0.505693 
8, 7000, 0.582317, 0.588960 
16, 7000, 1.585643, 1.592707 
1, 8000, 1.467954, 1.495262 
2, 8000, 1.313136, 1.334418 
4, 8000, 0.709812, 0.733081 
8, 8000, 0.751750, 0.774497 
16, 8000, 1.974857, 1.984078 
1, 9000, 1.882184, 1.907660 
2, 9000, 1.559025, 1.585125 
4, 9000, 1.277098, 1.302175 
8, 9000, 0.924700, 0.955154 
16, 9000, 2.272854, 2.282429 
1, 10000, 2.299353, 2.336013 
2, 10000, 1.967847, 2.000296 
4, 10000, 1.031391, 1.062491 
8, 10000, 1.138159, 1.148862 
16, 10000, 2.746705, 2.756441 
1, 11000, 2.809299, 2.856421 
2, 11000, 2.302731, 2.342309 
4, 11000, 1.872942, 1.884025 
8, 11000, 1.400320, 1.410937 
16, 11000, 3.198135, 3.209007 
1, 12000, 3.355906, 3.407620 
2, 12000, 2.666947, 2.711437 
4, 12000, 2.008656, 2.020383 
8, 12000, 1.615341, 1.661057 
16, 12000, 3.715789, 3.730313 
1, 13000, 3.956430, 4.015643 
2, 13000, 3.193502, 3.251612 
4, 13000, 2.426151, 2.480699 
8, 13000, 1.928321, 1.983730 
16, 13000, 4.355061, 4.368186 
1, 14000, 4.551322, 4.613435 
2, 14000, 3.671381, 3.732705 
4, 14000, 2.071397, 2.135891 
8, 14000, 2.097868, 2.111439 
16, 14000, 5.034124, 5.048034 
1, 15000, 5.267465, 5.336334 
2, 15000, 4.201365, 4.269978 
4, 15000, 3.130625, 3.145341 
8, 15000, 2.507512, 2.522203 
16, 15000, 5.674602, 5.690429 
1, 1000, 0.022194, 0.023380 
2, 1000, 0.022728, 0.024663 
4, 1000, 0.018333, 0.019311 
8, 1000, 0.031071, 0.032201 
16, 1000, 0.158423, 0.159465 
1, 2000, 0.076112, 0.081846 
2, 2000, 0.068324, 0.071573 
4, 2000, 0.050826, 0.053555 
8, 2000, 0.071189, 0.072938 
16, 2000, 0.295208, 0.297580 
1, 3000, 0.182783, 0.191661 
2, 3000, 0.184973, 0.195213 
4, 3000, 0.101048, 0.106305 
8, 3000, 0.129038, 0.132021 
16, 3000, 0.483379, 0.486591 
1, 4000, 0.343366, 0.354389 
2, 4000, 0.324677, 0.337366 
4, 4000, 0.169246, 0.177472 
8, 4000, 0.209931, 0.214277 
16, 4000, 0.708733, 0.713258 
1, 5000, 0.545107, 0.560757 
2, 5000, 0.506754, 0.520088 
4, 5000, 0.380117, 0.391858 
8, 5000, 0.311058, 0.315507 
16, 5000, 0.968865, 0.974918 
1, 6000, 0.804927, 0.820370 
2, 6000, 0.729451, 0.746887 
4, 6000, 0.539842, 0.555995 
8, 6000, 0.431588, 0.437591 
16, 6000, 1.248066, 1.255431 
1, 7000, 1.109047, 1.130367 
2, 7000, 0.951775, 0.969698 
4, 7000, 0.503252, 0.509917 
8, 7000, 0.583250, 0.590892 
16, 7000, 1.543921, 1.551687 
1, 8000, 1.486197, 1.510108 
2, 8000, 1.210677, 1.231716 
4, 8000, 0.993097, 1.017983 
8, 8000, 0.770885, 0.796707 
16, 8000, 1.949500, 1.957583 
1, 9000, 1.888811, 1.920809 
2, 9000, 1.571899, 1.599297 
4, 9000, 0.865282, 0.892758 
8, 9000, 0.950418, 0.979499 
16, 9000, 2.258783, 2.268189 
1, 10000, 2.321435, 2.359313 
2, 10000, 1.935381, 1.968298 
4, 10000, 1.240788, 1.275461 
8, 10000, 1.141910, 1.152096 
16, 10000, 2.765579, 2.775590 
1, 11000, 2.791260, 2.836034 
2, 11000, 2.407202, 2.442691 
4, 11000, 1.432096, 1.442655 
8, 11000, 1.389390, 1.399959 
16, 11000, 3.265292, 3.276663 
1, 12000, 3.320147, 3.365036 
2, 12000, 2.666232, 2.711738 
4, 12000, 2.028925, 2.040433 
8, 12000, 1.565487, 1.615749 
16, 12000, 3.824997, 3.839140 
1, 13000, 3.935103, 3.994036 
2, 13000, 3.162104, 3.216437 
4, 13000, 2.832338, 2.883822 
8, 13000, 1.876854, 1.930088 
16, 13000, 4.366992, 4.381677 
1, 14000, 4.550530, 4.622518 
2, 14000, 3.787273, 3.852454 
4, 14000, 2.525300, 2.590491 
8, 14000, 2.166092, 2.181339 
16, 14000, 4.943001, 4.957241 
1, 15000, 5.272548, 5.348026 
2, 15000, 4.239035, 4.314832 
4, 15000, 2.329143, 2.343977 
8, 15000, 2.407628, 2.422328 
16, 15000, 5.555279, 5.572596 
1, 1000, 0.026828, 0.027965 
2, 1000, 0.021310, 0.022408 
4, 1000, 0.019930, 0.020868 
8, 1000, 0.032780, 0.033603 
16, 1000, 0.165884, 0.167235 
1, 2000, 0.083040, 0.088423 
2, 2000, 0.080894, 0.083968 
4, 2000, 0.063124, 0.066041 
8, 2000, 0.078923, 0.080662 
16, 2000, 0.338537, 0.340510 
1, 3000, 0.174355, 0.180000 
2, 3000, 0.183719, 0.189342 
4, 3000, 0.121536, 0.126700 
8, 3000, 0.127787, 0.130478 
16, 3000, 0.497967, 0.501752 
1, 4000, 0.341216, 0.352129 
2, 4000, 0.321887, 0.330190 
4, 4000, 0.170673, 0.179025 
8, 4000, 0.215895, 0.219585 
16, 4000, 0.719740, 0.723426 
1, 5000, 0.543430, 0.556759 
2, 5000, 0.517215, 0.527803 
4, 5000, 0.338452, 0.349735 
8, 5000, 0.300196, 0.304897 
16, 5000, 0.956770, 0.961932 
1, 6000, 0.796343, 0.812156 
2, 6000, 0.723389, 0.738778 
4, 6000, 0.499516, 0.513061 
8, 6000, 0.434152, 0.440320 
16, 6000, 1.229805, 1.235778 
1, 7000, 1.113222, 1.135011 
2, 7000, 0.882333, 0.899586 
4, 7000, 0.696216, 0.703071 
8, 7000, 0.536455, 0.543826 
16, 7000, 1.573378, 1.580806 
1, 8000, 1.472990, 1.500956 
2, 8000, 1.276271, 1.299710 
4, 8000, 1.019839, 1.044593 
8, 8000, 0.733881, 0.759581 
16, 8000, 1.896327, 1.904056 
1, 9000, 1.889041, 1.917802 
2, 9000, 1.579743, 1.607305 
4, 9000, 1.020364, 1.048864 
8, 9000, 0.926079, 0.953834 
16, 9000, 2.347890, 2.358268 
1, 10000, 2.320339, 2.356981 
2, 10000, 1.939821, 1.969890 
4, 10000, 1.268806, 1.299161 
8, 10000, 1.130027, 1.139716 
16, 10000, 2.741259, 2.752671 
1, 11000, 2.816248, 2.861877 
2, 11000, 2.358546, 2.397388 
4, 11000, 1.264155, 1.275467 
8, 11000, 1.305678, 1.316397 
16, 11000, 3.297085, 3.308306 
1, 12000, 3.361372, 3.407131 
2, 12000, 2.748131, 2.794306 
4, 12000, 1.811387, 1.823107 
8, 12000, 1.570920, 1.616573 
16, 12000, 3.768409, 3.782030 
1, 13000, 3.905767, 3.963025 
2, 13000, 3.204804, 3.259033 
4, 13000, 2.922264, 2.972748 
8, 13000, 1.853918, 1.909996 
16, 13000, 4.281772, 4.295314 
1, 14000, 4.591701, 4.654429 
2, 14000, 3.698641, 3.759004 
4, 14000, 3.102167, 3.167785 
8, 14000, 2.176222, 2.190001 
16, 14000, 5.007706, 5.022360 
1, 15000, 5.281035, 5.355915 
2, 15000, 4.390551, 4.459912 
4, 15000, 2.453905, 2.468601 
8, 15000, 2.461433, 2.476191 
16, 15000, 5.667568, 5.683543 
1, 1000, 0.017759, 0.018959 
2, 1000, 0.026133, 0.028141 
4, 1000, 0.017442, 0.018347 
8, 1000, 0.035903, 0.036879 
16, 1000, 0.177795, 0.178740 
1, 2000, 0.083565, 0.089435 
2, 2000, 0.085116, 0.091177 
4, 2000, 0.049237, 0.052060 
8, 2000, 0.072912, 0.074877 
16, 2000, 0.299884, 0.302560 
1, 3000, 0.179684, 0.189476 
2, 3000, 0.184791, 0.190303 
4, 3000, 0.104650, 0.110240 
8, 3000, 0.131485, 0.134662 
16, 3000, 0.497596, 0.501380 
1, 4000, 0.351541, 0.363435 
2, 4000, 0.274110, 0.282331 
4, 4000, 0.246336, 0.255076 
8, 4000, 0.208792, 0.212405 
16, 4000, 0.719777, 0.723637 
1, 5000, 0.549662, 0.561542 
2, 5000, 0.426419, 0.437361 
4, 5000, 0.265636, 0.276482 
8, 5000, 0.309663, 0.314255 
16, 5000, 0.986787, 0.992095 
1, 6000, 0.803670, 0.821836 
2, 6000, 0.705987, 0.723406 
4, 6000, 0.557449, 0.572975 
8, 6000, 0.434039, 0.439494 
16, 6000, 1.260216, 1.265944 
1, 7000, 1.111481, 1.134463 
2, 7000, 0.967862, 0.988403 
4, 7000, 0.769203, 0.775583 
8, 7000, 0.576238, 0.582723 
16, 7000, 1.564855, 1.572684 
1, 8000, 1.484620, 1.514237 
2, 8000, 1.290615, 1.311844 
4, 8000, 0.653786, 0.676492 
8, 8000, 0.756999, 0.781192 
16, 8000, 1.870710, 1.878898 
1, 9000, 1.871135, 1.900237 
2, 9000, 1.505836, 1.532670 
4, 9000, 0.835396, 0.860587 
8, 9000, 0.881410, 0.909016 
16, 9000, 2.351868, 2.361286 
1, 10000, 2.309616, 2.346590 
2, 10000, 1.940133, 1.976421 
4, 10000, 1.605301, 1.635247 
8, 10000, 1.169642, 1.179296 
16, 10000, 2.763614, 2.774018 
1, 11000, 2.824832, 2.866588 
2, 11000, 2.313444, 2.354395 
4, 11000, 1.250038, 1.260695 
8, 11000, 1.393117, 1.403835 
16, 11000, 3.278921, 3.290270 
1, 12000, 3.352158, 3.403562 
